TERMO;DEFINICAO
PASSAGEM POR OUTRO VEÍCULO;movimento de passagem à frente de outro veículo que se desloca no mesmo sentido, em menor velocidade, mas em faixas distintas da via (Anexo I do CTB). PASSAGEM SUBTERRÂNEA - obra de arte destinada à transposição de vias, em desnível subterrâneo, e ao uso de pedestres ou veículos (Anexo I do CTB).
PASSARELA;obra de arte destinada à transposição de vias, em desnível aéreo, e ao uso de pedestres (Anexo I do CTB).
PASSEIO;parte da calçada ou da pista de rolamento, neste último caso, separada por pintura ou elemento físico separador, livre de interferências, destinada à circulação exclusiva de pedestres e, excepcionalmente, de ciclistas (Anexo I do CTB).
PATRULHAMENTO OSTENSIVO;função exercida pela Polícia Rodoviária Federal com o objetivo de prevenir e reprimir infrações penais no âmbito de sua competência e de garantir obediência às normas relativas à segurança de trânsito, de forma a assegurar a livre circulação e a prevenir sinistros.   (Redação dada pela Lei nº 14.599, de 2023)
PATRULHAMENTO VIÁRIO;função exercida pelos agentes de trânsito dos órgãos e entidades executivos de trânsito e rodoviário, no âmbito de suas competências, com o objetivo de garantir a segurança viária nos termos do § 10 do art. 144 da Constituição Federal (Lei 14.229/21).
PERÍMETRO URBANO;limite entre área urbana e área rural (Anexo I do CTB).
PERTURBAR DELIBERADAMENTE A CIRCULAÇÃO NA VIA;veículo que de alguma forma cause prejuízo à circulação, estando em movimento ou estacionado na via fora da pista de rolamento. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
PESO BRUTO TOTAL;peso máximo que o veículo transmite ao pavimento, constituído da soma da tara mais a lotação (Anexo I do CTB).
PESO BRUTO TOTAL COMBINADO;peso máximo transmitido ao pavimento pela combinação de um caminhão-trator mais seu semi-reboque ou do caminhão mais o seu reboque ou reboques (Anexo I do CTB).
PISCA;ALERTA - luz intermitente do veículo, utilizada em caráter de advertência, destinada a indicar aos demais usuários da via que o veículo está imobilizado ou em situação de emergência (Anexo I do CTB).
PISTA;parte da via normalmente utilizada para a circulação de veículos, identificada por elementos separadores ou por diferença de nível em relação às calçadas, ilhas ou aos canteiros centrais.Também conhecida como pista de rolamento. (Anexo I do CTB).
PLACAS;elementos colocados na posição vertical, fixados ao lado ou suspensos sobre a pista, transmitindo mensagens de caráter permanente e, eventualmente, variáveis, mediante símbolo ou legendas pré-reconhecidas e legalmente instituídas como sinais de trânsito (Anexo I do CTB).
POLICIAMENTO OSTENSIVO DE TRÂNSITO;função exercida pelas Polícias Militares com o objetivo de prevenir e reprimir atos relacionados com a segurança pública e de garantir obediência às normas relativas à segurança de trânsito, assegurando a livre circulação e evitando sinistros. (Lei nº 14.599, de 2023)
PONTE;obra de construção civil destinada a ligar margens opostas de uma superfície líquida qualquer (Anexo I do CTB). A alça de entrada e/ou saída é parte integrante da ponte.
PRÉSTITO;"agrupamento de numerosas pessoas em marcha; cortejo, procissão (MBFT - Manual Brasileiro de Fiscalização de Trânsito)."
PROMOTOR;aquele que fomenta, determina, dá impulso, promove, organiza a competição/evento. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
QUADRICICLO;veículo automotor de 4 (quatro) rodas, com ou sem cabine, com massa em ordem de marcha não superior a 450 kg (quatrocentos e cinquenta quilogramas) para o transporte de passageiros, ou não superior a 600 kg (seiscentos quilogramas) para o transporte de cargas.   (Lei nº 14.599, de 2023)
REBOQUE;veículo destinado a ser engatado atrás de um veículo automotor (Anexo I do CTB). REENTRÂNCIA DA CALÇADA - baia de parada, remanso, etc. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
REFÚGIO;parte da via, devidamente sinalizada e protegida, destinada ao uso de pedestres durante a travessia da mesma (Anexo I do CTB).
REGULAMENTAÇÃO DA VIA;implantação de sinalização de regulamentação pelo órgão ou entidade competente com circunscrição sobre a via, definindo, entre outros, sentido de direção, tipo de estacionamento, horários e dias (Anexo I do CTB).
RENACH;Registro Nacional de Carteiras de Habilitação. (Lei nº 14.440, de 2022)
RENAVAM;Registro Nacional de Veículos Automotores. (Anexo I do CTB).
RESTRINGIR DELIBERADAMENTE A CIRCULAÇÃO NA VIA;obstrução deliberada e parcial da circulação de veículos na via. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
RETORNO;movimento de inversão total de sentido da direção original de veículos (Anexo I do CTB). RETRORREFLETOR - Dispositivo de sinalização utilizado para indicar a presença de um veículo pela retrorreflexão da luz procedente de fonte luminosa não originada no próprio veículo. (Resolução 970/2022).
RODOVIA;via rural pavimentada (Anexo I do CTB).
ROTA DE BICICLETA OU CICLORROTA;vias sinalizadas que compõem o sistema ciclável da cidade interligando pontos de interesse, ciclovias e ciclofaixas, de forma a indicar o compartilhamento do espaço viário entre veículos motorizados e bicicletas, melhorando as condições de segurança na circulação. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
SEGURAR O TELEFONE CELULAR;manter o aparelho na mão, sem contudo manuseá-lo. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
SEMI;REBOQUE - veículo de um ou mais eixos que se apoia na sua unidade tratora ou é a ela ligado por meio de articulação (Anexo I do CTB).
"SETAS INDICATIVAS DE POSICIONAMENTO NA PISTA PARA A EXECUÇÃO DE MOVIMENTOS
(PEM)";indica em que faixa de trânsito o veículo deve se posicionar, para  efetuar  o  movimento desejado, de forma adequada e sem conflitos com o movimento dos demais veículos. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
SIDCAR;Dispositivo de uma única roda preso ao lado de uma motocicleta (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
SINAIS DE TRÂNSITO;elementos de sinalização viária que se utilizam de placas, marcas viárias, equipamentos de controle luminosos, dispositivos auxiliares, apitos e gestos, destinados exclusivamente a ordenar ou dirigir o trânsito dos veículos e pedestres (Anexo I do CTB).
SINALIZAÇÃO;conjunto de sinais de trânsito e dispositivos de segurança colocados na via pública com o objetivo de garantir sua utilização adequada, possibilitando melhor fluidez no trânsito e maior segurança dos veículos e pedestres que nela circulam (Anexo I do CTB).
SINISTRO DE TRÂNSITO;evento que resulta em dano ao veículo ou à sua carga e/ou em lesões a pessoas ou animais e que pode trazer dano material ou prejuízo ao trânsito, à via ou ao meio ambiente, em que pelo menos uma das partes está em movimento nas vias terrestres ou em áreas abertas ao público. (Lei nº 14.599, de 2023)
SITUAÇÃO DE EMERGÊNCIA;é aquilo que estiver causando risco à segurança ou interferência na circulação, com prejuízo à fluidez (MBFT - Manual Brasileiro de Fiscalização de Trânsito). SONÔMETRO (decibelímetro) - equipamento hábil para medição de pressão sonora (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
SONS POR APITO;sinais sonoros, emitidos exclusivamente pelos agentes da autoridade de trânsito nas vias, para orientar ou indicar o direito de passagem dos veículos ou pedestres, sobrepondo-se ou completando sinalização existente no local ou norma estabelecida no CTB (Anexo I do CTB).
TALUDE;é a denominação que se dá a qualquer superfície inclinada de um maciço de solo ou rocha (Estabilidade de Taludes, Denise M. S. Gerscovich, 2ª Edição 2016, pág 192).
TARA;peso próprio do veículo, acrescido dos pesos da carroçaria e equipamento, do combustível, das ferramentas e acessórios, da roda sobressalente, do extintor de incêndio e do fluido de arrefecimento, expresso em quilogramas (Anexo I do CTB).
TÁXI;veículo de aluguel utilizado para transporte público individual de passageiros autorizado pelo poder público municipal a efetuar esse serviço em sua circunscrição (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
TEMPO DE DIREÇÃO;período em que o condutor estiver efetivamente ao volante de um veículo em movimento. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
TRAILER;reboque ou semi-reboque tipo casa, com duas, quatro, ou seis rodas, acoplado ou adaptado à traseira de automóvel ou camionete, utilizado em geral em atividades turísticas como alojamento, ou para atividades comerciais (Anexo I do CTB).
TRÂNSITO;movimentação e imobilização de veículos, pessoas e animais nas vias terrestres (Anexo I do CTB).
TRÂNSITO SELETIVO;é a via, pista ou faixa definida pela sinalização onde o trânsito de determinado veículo (tipo, espécie, PBT, etc.) é restrito (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
TRANSPORTADOR;aquele que conduz, que leva, que transporta de um lugar para o outro (Mini Aurélio,	6ª	Edição,	2005). TRANSPOSIÇÃO DE FAIXAS - passagem de um veículo de uma faixa demarcada para outra (
TRANSPORTE PRIVADO COLETIVO;serviço de transporte de passageiros não aberto ao público para a realização de viagens com características operacionais exclusivas para cada linha e demanda. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
TRANSPORTE PÚBLICO COLETIVO;serviço público de transporte de passageiros acessível a toda a população mediante pagamento individualizado, com itinerários e preços fixados pelo poder público. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
TRATOR;veículo automotor construído para realizar trabalho agrícola, de construção e pavimentação e tracionar outros veículos e equipamentos (Anexo I do CTB).
TRICICLO;veículo automotor de 3 (três) rodas, com ou sem cabine, dirigido por condutor em posição sentada ou montada, que não possui as características de ciclomotor.  (Incluído pela Lei nº 14.599, de 2023)
TÚNEL;é a obra usada para atravessar um grande maciço rochoso ou terroso, onde não seja recomendável fazê-lo em corte (ABNT) (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ULTRAPASSAGEM;movimento de passar à frente de outro veículo que se desloca no mesmo sentido, em menor velocidade e na mesma faixa de tráfego, necessitando sair e retornar à faixa de origem (Anexo I do CTB).
UTILITÁRIO;veículo misto caracterizado pela versatilidade do seu uso, inclusive fora de estrada (Anexo I do CTB).
UTILIZANDO;"SE de telefone celular - utilizar o telefone celular, sem contudo segurar ou manusear o aparelho (por exemplo: apoiado entre a cabeça e o ombro; encaixado no capacete ou pendurado). (MBFT - Manual Brasileiro de Fiscalização de Trânsito)."
VEÍCULO ARTICULADO;combinação de veículos acoplados, sendo um deles automotor (Anexo I do CTB).
VEÍCULO AUTOMOTOR;veículo a motor de propulsão a combustão, elétrica ou híbrida que circula por seus próprios meios e que serve normalmente para o transporte viário de pessoas e coisas ou para a tração viária de veículos utilizados para o transporte de pessoas e coisas, compreendidos na definição os veículos conectados a uma linha elétrica e que não circulam sobre trilhos (ônibus elétrico). (Lei nº 14.599, de 2023)
VEÍCULO CONJUGADO;combinação de veículos, sendo o primeiro um veículo automotor e os demais reboques ou equipamentos de trabalho agrícola, construção, terraplenagem ou pavimentação (Lei federal 14.071 de 2020).
VEÍCULO DE CARGA;veículo destinado ao transporte de carga, podendo transportar dois passageiros, exclusive o condutor (Anexo I do CTB).
VEÍCULO DE COLEÇÃO;veículo fabricado há mais de 30 (trinta) anos, original ou modificado, que possui valor histórico próprio (Lei federal 14.071 de 2020).
VEÍCULO DE GRANDE PORTE;veículo automotor destinado ao transporte de carga com peso bruto total máximo superior a dez mil quilogramas e de passageiros, superior a vinte passageiros (Anexo I do CTB).
VEÍCULO DE PASSAGEIROS;veículo destinado ao transporte de pessoas e suas bagagens (Anexo I do CTB).
VEÍCULO DE SALVAMENTO;considera-se veículo de salvamento aquele que possui dispositivos de luz vermelha intermitente e alarme sonoro (que não ambulância), destinado a transporte de médico em atendimento de urgência, ou ainda, a transporte de equipamento de salvamento (terrestre, aquático e em alturas) (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
VEÍCULO EM ESTADO DE ABANDONO;veículo estacionado na via ou em estacionamento público, sem capacidade de locomoção por meios próprios e que, devido a seu estado de conservação e processo de deterioração, ofereça risco à saúde pública, à segurança pública ou ao meio ambiente, independentemente de encontrar-se estacionado em local permitido. (Lei nº 14.440, de 2022)
VEÍCULO ESPECIAL;veículo de passageiro, de carga, de tração, de coleção ou misto que possui características diferenciadas para realização de função especial para a qual são necessários arranjos específicos da carroceria e/ou equipamento. (Lei nº 14.599, de 2023)
VEÍCULO LENTO;veículo automotor que está transitando com velocidade anormalmente reduzida em relação a outro veículo (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
VEÍCULO LEVE;ciclomotor, motoneta, motocicleta, triciclo, quadriciclo, automóvel, ulitário, caminhonete e camioneta, com peso bruto total inferior ou igual a três mil e quinhentos quilogramas. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
VEÍCULO MISTO;veículo automotor destinado ao transporte simultâneo de carga e passageiro (Anexo I do CTB).
VEÍCULO PESADO;ônibus, micro-ônibus, caminhão, caminhão-trator, trator de rodas, trator misto, chassi-plataforma, motor-casa, reboque ou semirreboque, combinação de veículos, veículo leve tracionando outro veículo, ou qualquer outro veículo com peso bruto total superior a três mil e quinhentos quilogramas. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
VELOCIDADE COMPATÍVEL;para fins deste dispoditivo, a velocidade compatível com a segurança no trânsito é aquela em que o condutor reduz efetivamente a velocidadedo veículo, de forma que fique claro ao agente a redução em relação à velocidade anterior de aproximação, de modo a se evitar o risco de um sinistro de trânsito (Lei Federal 14.071 de 2020).
VIA;superfície por onde transitam veículos, pessoas e animais, compreendendo a pista, a calçada, o acostamento, ilha e canteiro central, jardins, pontes, passarelas, viadutos, etc. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
VIA ARTERIAL;aquela caracterizada por interseções em nível, geralmente controlada por semáforo, com acessibilidade aos lotes lindeiros e às vias secundárias e locais, possibilitando o trânsito entre as regiões da cidade (Anexo I do CTB).
VIA COLETORA;aquela destinada a coletar e distribuir o trânsito que tenha necessidade de entrar ou sair das vias de trânsito rápido ou arteriais, possibilitando o trânsito dentro das regiões da cidade (Anexo I do CTB).
VIA DE TRÂNSITO RÁPIDO;aquela caracterizada por acessos especiais com trânsito livre, sem interseções em nível, sem acessibilidade direta aos lotes lindeiros e sem travessia de pedestres em nível (Anexo I do CTB).
VIA ELEVADA;equipara-se a viaduto (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
VIA LOCAL;aquela caracterizada por interseções em nível não semaforizadas, destinada apenas ao acesso local ou a áreas restritas (Anexo I do CTB).
VIA RURAL;estradas e rodovias (Anexo I do CTB).
VIA URBANA;ruas, avenidas, vielas, ou caminhos e similares abertos à circulação pública, situados na área urbana, caracterizados principalmente por possuírem imóveis edificados ao longo de sua extensão (Anexo I do CTB).
VIADUTO;obra de construção civil destinada a transpor uma depressão de terreno ou servir de passagem superior (Anexo I do CTB). A alça de entrada e/ou saída é parte integrante do viaduto. Via elevada ou elevado equipara-se a viaduto para fins de fiscalização.
VIAS E ÁREAS DE PEDESTRES;vias ou conjunto de vias destinadas à circulação prioritária de pedestres (Anexo I do CTB).
VISEIRA;Anteparo destinado à proteção dos olhos e das mucosas, é construída em plásticos de engenharia, com transparência, fabricadas nos padrões: cristal, fumê light, fumê e metalizadas. As viseiras que não sejam do padrão cristal devem ter aplicação da seguinte orientação na sua superfície, em alto ou baixo relevo, sendo: Idioma português: USO EXCLUSIVO DIURNO (podendo estar acompanhada com a informação em outro idioma) Idioma inglês: DAY TIME USE ONLY. (MBFT - Manual Brasileiro de Fiscalização de Trânsito). (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
VPC;Veículo PortaContêiner. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
VTAV;Veículo de Transporte de Animais Vivos. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
